timestamp,ofi_best,ofi_int,ofi_0,ofi_1,ofi_2,ofi_3,ofi_4,ofi_5,ofi_6,ofi_7,ofi_8,ofi_9
2024-10-21 11:54:29,400.0,142.7056948607514,3.0,400.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21 11:54:30,0.0,,,,,,,,,,,
2024-10-21 11:54:31,0.0,,,,,,,,,,,
2024-10-21 11:54:32,0.0,,,,,,,,,,,
2024-10-21 11:54:33,0.0,,,,,,,,,,,
2024-10-21 11:54:34,0.0,,,,,,,,,,,
2024-10-21 11:54:35,0.0,,,,,,,,,,,
2024-10-21 11:54:36,0.0,0.10812043965997471,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0
2024-10-21 11:54:37,0.0,102.39111341979961,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21 11:54:38,0.0,,,,,,,,,,,
2024-10-21 11:54:39,0.0,204.78222683959922,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21 11:54:40,0.0,,,,,,,,,,,
2024-10-21 11:54:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21 11:54:42,0.0,,,,,,,,,,,
2024-10-21 11:54:43,0.0,,,,,,,,,,,
2024-10-21 11:54:44,0.0,,,,,,,,,,,
2024-10-21 11:54:45,0.0,,,,,,,,,,,
2024-10-21 11:54:46,0.0,,,,,,,,,,,
2024-10-21 11:54:47,0.0,,,,,,,,,,,
2024-10-21 11:54:48,0.0,,,,,,,,,,,
2024-10-21 11:54:49,0.0,,,,,,,,,,,
2024-10-21 11:54:50,0.0,2.4032195631668722,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0
2024-10-21 11:54:51,0.0,,,,,,,,,,,
2024-10-21 11:54:52,0.0,,,,,,,,,,,
2024-10-21 11:54:53,0.0,-0.511955567098998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21 11:54:54,0.0,,,,,,,,,,,
2024-10-21 11:54:55,0.0,1.2050580808276283,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21 11:54:56,0.0,,,,,,,,,,,
